index,file,spikeNumber,numError,errors,dVthreshold,medianFilter,halfHeights,thresholdPnt,thresholdVal,thresholdVal_dvdt,thresholdSec,peakPnt,peakVal,peakSec,peakHeight,preMinPnt,preMinVal,postMinPnt,postMinVal,preLinearFitPnt0,preLinearFitPnt1,earlyDiastolicDuration_ms,preLinearFitVal0,preLinearFitVal1,earlyDiastolicDurationRate,lateDiastolicDuration,preSpike_dvdt_max_pnt,preSpike_dvdt_max_val,preSpike_dvdt_max_val2,postSpike_dvdt_min_pnt,postSpike_dvdt_min_val,postSpike_dvdt_min_val2,isi_pnts,isi_ms,cycleLength_pnts,cycleLength_ms,apDuration_ms,diastolicDuration_ms,widths
59,data/19114001.abf,59,0,[],50,5,"[10, 50, 90]",698527,-37.841796875,12.20703125,34.92635,698558,47.607421875,34.9279,85.44921875,696963.0,-63.95263671875,704730.0,-63.677978515625,697119.0,697745.0,31.3,-62.8662109375,-62.255859375,22.13354565709121,,698544.0,19.53125,146.484375,698576.0,44.5556640625,-24.4140625,11630.0,581.5,12373.0,618.65,310.15,78.2,"[{'halfHeight': 10, 'risingPnt': 698406, 'risingVal': -52.490234375, 'fallingPnt': 703007, 'fallingVal': -53.1005859375, 'widthPnts': 4601, 'widthMs': 230.05}, {'halfHeight': 50, 'risingPnt': 698540, 'risingVal': -6.7138671875, 'fallingPnt': 699247, 'fallingVal': -8.544921875, 'widthPnts': 707, 'widthMs': 35.35}, {'halfHeight': 90, 'risingPnt': 698548, 'risingVal': 37.2314453125, 'fallingPnt': 698618, 'fallingVal': 36.0107421875, 'widthPnts': 70, 'widthMs': 3.5}]"
60,data/19114001.abf,60,0,[],50,5,"[10, 50, 90]",709993,-39.0625,12.20703125,35.49965,710027,46.38671875,35.501349999999995,85.44921875,709004.0,-63.677978515625,715091.0,-63.922119140625,709102.0,709498.0,19.8,-62.255859375,-58.59375,140.59836713777298,,710010.0,-1.8310546875,146.484375,710102.0,32.958984375,-24.4140625,11466.0,573.3,10361.0,518.05,254.9,49.45,"[{'halfHeight': 10, 'risingPnt': 709862, 'risingVal': -52.490234375, 'fallingPnt': 713583, 'fallingVal': -53.1005859375, 'widthPnts': 3721, 'widthMs': 186.05}, {'halfHeight': 50, 'risingPnt': 710010, 'risingVal': -1.8310546875, 'fallingPnt': 710841, 'fallingVal': -9.1552734375, 'widthPnts': 831, 'widthMs': 41.55}, {'halfHeight': 90, 'risingPnt': 710017, 'risingVal': 36.0107421875, 'fallingPnt': 710093, 'fallingVal': 34.7900390625, 'widthPnts': 76, 'widthMs': 3.8}]"
61,data/19114001.abf,61,0,[],50,5,"[10, 50, 90]",722999,-34.7900390625,61.03515625,36.14995,723025,46.9970703125,36.15125,81.787109375,721545.0,-63.922119140625,728285.0,-64.068603515625,721690.0,722272.0,29.1,-62.8662109375,-61.6455078125,50.2872993095227,,723012.0,2.44140625,146.484375,723063.0,40.283203125,-36.62109375,13006.0,650.3,13194.0,659.7,264.3,72.7,"[{'halfHeight': 10, 'risingPnt': 722868, 'risingVal': -52.490234375, 'fallingPnt': 726729, 'fallingVal': -53.1005859375, 'widthPnts': 3861, 'widthMs': 193.05}, {'halfHeight': 50, 'risingPnt': 723011, 'risingVal': -4.8828125, 'fallingPnt': 723694, 'fallingVal': -8.544921875, 'widthPnts': 683, 'widthMs': 34.15}, {'halfHeight': 90, 'risingPnt': 723018, 'risingVal': 36.62109375, 'fallingPnt': 723087, 'fallingVal': 35.400390625, 'widthPnts': 69, 'widthMs': 3.45}]"
62,data/19114001.abf,62,0,[],50,5,"[10, 50, 90]",734641,-30.517578125,61.03515625,36.73205,734664,46.9970703125,36.7332,77.5146484375,733099.0,-64.068603515625,740090.0,-62.51220703125,733253.0,733870.0,30.85,-62.255859375,-61.6455078125,43.104422468462616,,734648.0,-7.32421875,134.27734375,734677.0,45.166015625,-24.4140625,11642.0,582.1,11805.0,590.25,272.45,77.1,"[{'halfHeight': 10, 'risingPnt': 734544, 'risingVal': -51.26953125, 'fallingPnt': 738424, 'fallingVal': -51.8798828125, 'widthPnts': 3880, 'widthMs': 194.0}, {'halfHeight': 50, 'risingPnt': 734648, 'risingVal': -7.32421875, 'fallingPnt': 735320, 'fallingVal': -7.9345703125, 'widthPnts': 672, 'widthMs': 33.6}, {'halfHeight': 90, 'risingPnt': 734657, 'risingVal': 40.283203125, 'fallingPnt': 734726, 'fallingVal': 36.0107421875, 'widthPnts': 69, 'widthMs': 3.45}]"
63,data/19114001.abf,63,0,[],50,5,"[10, 50, 90]",745347,-32.3486328125,48.828125,37.26735,745376,44.5556640625,37.268800000000006,76.904296875,743452.0,-62.51220703125,750843.0,-64.031982421875,743641.0,744399.0,37.9,-62.255859375,-59.814453125,54.426944558452675,,745360.0,10.3759765625,158.69140625,745420.0,37.2314453125,-36.62109375,10706.0,535.3,10753.0,537.65,274.8,94.75,"[{'halfHeight': 10, 'risingPnt': 745142, 'risingVal': -53.1005859375, 'fallingPnt': 749369, 'fallingVal': -53.7109375, 'widthPnts': 4227, 'widthMs': 211.35}, {'halfHeight': 50, 'risingPnt': 745357, 'risingVal': -7.32421875, 'fallingPnt': 746156, 'fallingVal': -9.765625, 'widthPnts': 799, 'widthMs': 39.95}, {'halfHeight': 90, 'risingPnt': 745366, 'risingVal': 34.7900390625, 'fallingPnt': 745441, 'fallingVal': 33.5693359375, 'widthPnts': 75, 'widthMs': 3.75}]"
64,data/19114001.abf,64,0,[],50,5,"[10, 50, 90]",757234,-33.5693359375,24.4140625,37.8617,757264,46.38671875,37.8632,79.9560546875,755366.0,-64.031982421875,762785.0,-64.0625,755552.0,756300.0,37.4,-62.8662109375,-61.6455078125,36.43538917285177,,757247.0,14.0380859375,146.484375,757340.0,31.1279296875,-36.62109375,11887.0,594.35,11942.0,597.1,277.55,93.4,"[{'halfHeight': 10, 'risingPnt': 757097, 'risingVal': -52.490234375, 'fallingPnt': 761328, 'fallingVal': -53.1005859375, 'widthPnts': 4231, 'widthMs': 211.55}, {'halfHeight': 50, 'risingPnt': 757244, 'risingVal': -6.103515625, 'fallingPnt': 758094, 'fallingVal': -9.1552734375, 'widthPnts': 850, 'widthMs': 42.5}, {'halfHeight': 90, 'risingPnt': 757252, 'risingVal': 36.0107421875, 'fallingPnt': 757325, 'fallingVal': 34.7900390625, 'widthPnts': 73, 'widthMs': 3.65}]"
65,data/19114001.abf,65,0,[],50,5,"[10, 50, 90]",767807,-35.400390625,24.4140625,38.39035,767837,46.38671875,38.39185,81.787109375,766043.0,-64.0625,774061.0,-64.2333984375,766219.0,766925.0,35.3,-62.255859375,-61.03515625,41.39999851446953,,767821.0,8.544921875,146.484375,767843.0,45.166015625,-24.4140625,10573.0,528.65,11276.0,563.8,312.7,88.2,"[{'halfHeight': 10, 'risingPnt': 767597, 'risingVal': -53.7109375, 'fallingPnt': 771838, 'fallingVal': -54.3212890625, 'widthPnts': 4241, 'widthMs': 212.05}, {'halfHeight': 50, 'risingPnt': 767819, 'risingVal': -4.8828125, 'fallingPnt': 768584, 'fallingVal': -9.1552734375, 'widthPnts': 765, 'widthMs': 38.25}, {'halfHeight': 90, 'risingPnt': 767827, 'risingVal': 36.0107421875, 'fallingPnt': 767902, 'fallingVal': 34.7900390625, 'widthPnts': 75, 'widthMs': 3.75}]"
66,data/19114001.abf,66,0,[],50,5,"[10, 50, 90]",779740,-32.958984375,12.20703125,38.987,779764,46.9970703125,38.9882,79.9560546875,777971.0,-64.2333984375,785309.0,-63.958740234375,778147.0,778855.0,35.4,-62.8662109375,-60.4248046875,77.77089381015993,,779752.0,13.427734375,134.27734375,779770.0,45.7763671875,-24.4140625,11933.0,596.65,11248.0,562.4,278.45,88.45,"[{'halfHeight': 10, 'risingPnt': 779573, 'risingVal': -52.490234375, 'fallingPnt': 783842, 'fallingVal': -53.1005859375, 'widthPnts': 4269, 'widthMs': 213.45}, {'halfHeight': 50, 'risingPnt': 779749, 'risingVal': -5.4931640625, 'fallingPnt': 780494, 'fallingVal': -8.544921875, 'widthPnts': 745, 'widthMs': 37.25}, {'halfHeight': 90, 'risingPnt': 779757, 'risingVal': 38.4521484375, 'fallingPnt': 779830, 'fallingVal': 35.400390625, 'widthPnts': 73, 'widthMs': 3.65}]"
67,data/19114001.abf,67,0,[],50,5,"[10, 50, 90]",789829,-32.3486328125,36.62109375,39.49145,789858,46.9970703125,39.4929,79.345703125,788531.0,-63.958740234375,795321.0,-64.3798828125,788660.0,789180.0,26.0,-62.255859375,-60.4248046875,96.02550516425805,,789840.0,2.44140625,146.484375,789896.0,39.0625,-24.4140625,10089.0,504.45,10012.0,500.6,274.6,64.9,"[{'halfHeight': 10, 'risingPnt': 789635, 'risingVal': -53.1005859375, 'fallingPnt': 793412, 'fallingVal': -53.7109375, 'widthPnts': 3777, 'widthMs': 188.85}, {'halfHeight': 50, 'risingPnt': 789839, 'risingVal': -4.8828125, 'fallingPnt': 790674, 'fallingVal': -9.1552734375, 'widthPnts': 835, 'widthMs': 41.75}, {'halfHeight': 90, 'risingPnt': 789847, 'risingVal': 37.841796875, 'fallingPnt': 789919, 'fallingVal': 35.400390625, 'widthPnts': 72, 'widthMs': 3.6}]"
68,data/19114001.abf,68,0,[],50,5,"[10, 50, 90]",802642,-36.62109375,12.20703125,40.1321,802669,48.2177734375,40.133449999999996,84.8388671875,801398.0,-64.3798828125,808717.0,-64.324951171875,801522.0,802020.0,24.9,-63.4765625,-61.6455078125,56.40049894764031,,802656.0,11.5966796875,158.69140625,802695.0,43.3349609375,-36.62109375,12813.0,640.65,13396.0,669.8,303.75,62.2,"[{'halfHeight': 10, 'risingPnt': 802527, 'risingVal': -52.490234375, 'fallingPnt': 806694, 'fallingVal': -53.1005859375, 'widthPnts': 4167, 'widthMs': 208.35}, {'halfHeight': 50, 'risingPnt': 802654, 'risingVal': -1.220703125, 'fallingPnt': 803438, 'fallingVal': -8.544921875, 'widthPnts': 784, 'widthMs': 39.2}, {'halfHeight': 90, 'risingPnt': 802661, 'risingVal': 37.841796875, 'fallingPnt': 802726, 'fallingVal': 36.62109375, 'widthPnts': 65, 'widthMs': 3.25}]"
